model,accuracy,precision,recall,f1,test_samples,roc_auc
rf_sentiment,0.6041666666666666,0.6071428571428571,0.68,0.6415094339622641,48,0.537391304347826
rf_technical_only,0.4583333333333333,0.46153846153846156,0.24,0.3157894736842105,48,0.4173913043478261
gradient_boosting,0.5,0.5142857142857142,0.72,0.6,48,0.44347826086956527
extra_trees,0.4791666666666667,0.5,0.48,0.4897959183673469,48,0.4469565217391304
